KernelAdd, 32, $2^{10}$, 0.175968
KernelAdd, 32, $2^{11}$, 0.0096
KernelAdd, 32, $2^{12}$, 0.007648
KernelAdd, 32, $2^{13}$, 0.006112
KernelAdd, 32, $2^{14}$, 0.004096
KernelAdd, 32, $2^{15}$, 0.010528
KernelAdd, 32, $2^{16}$, 0.009248
KernelAdd, 32, $2^{17}$, 0.01488
KernelAdd, 32, $2^{18}$, 0.016928
KernelAdd, 32, $2^{19}$, 0.027232
KernelAdd, 32, $2^{20}$, 0.04352
KernelAdd, 32, $2^{21}$, 0.077376
KernelAdd, 32, $2^{22}$, 0.145888
KernelAdd, 32, $2^{23}$, 0.279488
KernelAdd, 32, $2^{24}$, 0.541952
KernelAdd, 32, $2^{25}$, 1.07334
KernelAdd, 32, $2^{26}$, 2.1336
KernelAdd, 32, $2^{27}$, 4.27594
KernelAdd, 32, $2^{28}$, 8.33562
KernelAdd, 32, $2^{29}$, 16.2076
KernelAdd, 64, $2^{10}$, 0.020736
KernelAdd, 64, $2^{11}$, 0.00928
KernelAdd, 64, $2^{12}$, 0.00496
KernelAdd, 64, $2^{13}$, 0.004096
KernelAdd, 64, $2^{14}$, 0.004096
KernelAdd, 64, $2^{15}$, 0.010208
KernelAdd, 64, $2^{16}$, 0.006848
KernelAdd, 64, $2^{17}$, 0.009888
KernelAdd, 64, $2^{18}$, 0.010528
KernelAdd, 64, $2^{19}$, 0.015072
KernelAdd, 64, $2^{20}$, 0.024192
KernelAdd, 64, $2^{21}$, 0.047072
KernelAdd, 64, $2^{22}$, 0.096192
KernelAdd, 64, $2^{23}$, 0.187968
KernelAdd, 64, $2^{24}$, 0.373056
KernelAdd, 64, $2^{25}$, 0.741568
KernelAdd, 64, $2^{26}$, 1.46922
KernelAdd, 64, $2^{27}$, 2.89405
KernelAdd, 64, $2^{28}$, 5.79405
KernelAdd, 64, $2^{29}$, 11.5824
KernelAdd, 128, $2^{10}$, 0.021056
KernelAdd, 128, $2^{11}$, 0.007616
KernelAdd, 128, $2^{12}$, 0.007616
