procs_count;parts_count;acceleration
1;1000;0.944974
1;1000000;0.999441
1;100000000;0.999947
2;1000;1.08907
3;1000;0.874984
2;1000000;2.03312
2;100000000;1.99889
3;1000000;3.00414
4;1000000;3.98985
4;1000;0.669175
3;100000000;2.99953
4;100000000;3.99981
5;1000;1.39583
5;1000000;4.87981
6;1000;1.41519
5;100000000;4.99621
7;1000;0.776133
6;100000000;6.00068
7;1000000;6.93679
7;100000000;6.99742
6;1000000;5.96193
